,State,County,PCT_OBESE_ADULTS13,FMRKT16,FFR14,GROC09,GROC14,GROCPTH14,PCT_LACCESS_CHILD15,FFRPTH14,FMRKTPTH16,FFRPTH14,PCT_OBESE_ADULTS08,PCT_DIABETES_ADULTS13,PCT_DIABETES_ADULTS08,CHILDPOVRATE15,PCT_HSPA15
32,AL,Hale,40.4,1,7,4,3,0.197576396,2.7188694126330075,0.461011591,0.0668806848582129,0.461011591,40.2,16.0,15.1,38.6,25.400000000000006
33,AL,Henry,35.8,2,10,4,3,0.17452007,0.8482047998698821,0.581733566,0.116522955022139,0.581733566,33.8,18.7,13.5,27.5,25.400000000000006
34,AL,Houston,32.8,3,97,14,16,0.15356118,4.417500651082937,0.930964652,0.0288306296609518,0.930964652,33.2,13.7,12.4,29.5,25.400000000000006
35,AL,Jackson,32.0,1,29,15,11,0.208867369,1.8061140200058394,0.550650337,0.0191798688096973,0.550650337,31.6,14.9,11.9,26.9,25.400000000000006
36,AL,Jefferson,33.2,17,642,108,108,0.163439988,7.575607912946181,0.971559929,0.0257762830903034,0.971559929,31.4,13.0,12.0,26.2,25.400000000000006
37,AL,Lamar,33.6,1,6,4,3,0.212977424,0.36036800467601965,0.425954849,0.0718494036499497,0.425954849,30.8,14.9,12.7,33.8,25.400000000000006
38,AL,Lauderdale,32.9,1,72,15,17,0.182607201,2.741490224163199,0.773395205,0.0108321237461817,0.773395205,29.1,14.2,12.8,23.9,25.400000000000006
39,AL,Lawrence,35.5,1,16,7,5,0.149356274,1.1669488554016976,0.477940078,0.0300806160510167,0.477940078,32.8,15.6,12.9,26.4,25.400000000000006
40,AL,Lee,29.0,4,128,13,17,0.110207125,5.382310367408836,0.82979482,0.0251586567793146,0.82979482,30.1,9.5,9.6,20.7,25.400000000000006
41,AL,Limestone,32.9,1,51,12,9,0.099133136,2.061040866820903,0.561754436,0.0107813224370101,0.561754436,29.1,12.6,10.4,18.8,25.400000000000006
42,AL,Lowndes,45.1,1,0,2,3,0.283553875,6.294810845790424,0.0,0.0965437343116432,0.0,40.6,23.5,17.1,46.7,25.400000000000006
43,AL,Macon,44.7,1,9,5,4,0.205920206,8.003133132127354,0.463320463,0.052734272003375,0.463320463,40.0,18.4,16.2,46.1,25.400000000000006
44,AL,Madison,32.3,7,330,35,44,0.125606981,6.330115117655661,0.942052361,0.0196096557945132,0.942052361,30.6,11.5,13.0,19.1,25.400000000000006
45,AL,Marengo,40.3,3,19,4,3,0.149179513,5.978626486656965,0.94480358,0.152493264880801,0.94480358,37.6,20.2,15.9,34.8,25.400000000000006
46,AL,Marion,35.5,2,17,5,3,0.099104754,1.3814768383360898,0.561593604,0.0666711114074272,0.561593604,28.6,18.7,11.7,30.4,25.400000000000006
47,AL,Marshall,33.2,3,71,19,21,0.22190287,3.0746236970074503,0.750243036,0.03152684510861,0.750243036,26.5,12.8,11.5,32.7,25.400000000000006
48,AL,Mobile,37.1,5,253,60,60,0.144535475,6.386688535052591,0.60945792,0.0120529558668968,0.60945792,30.3,15.6,12.2,26.9,25.400000000000006
49,AL,Monroe,35.3,2,9,7,6,0.273385884,6.142423392087394,0.410078826,0.0928936367858802,0.410078826,35.4,17.8,13.5,35.7,25.400000000000006
50,AL,Montgomery,34.8,3,210,33,37,0.163580015,7.706013658039483,0.928427112,0.0132538690252663,0.928427112,34.0,13.5,12.7,33.8,25.400000000000006
51,AL,Morgan,31.6,3,99,22,16,0.133771435,3.2820767085066116,0.827710753,0.0252075420965953,0.827710753,34.8,12.6,11.0,24.0,25.400000000000006
52,AL,Perry,43.0,1,1,5,4,0.407083249,1.5037063239696344,0.101770812,0.104449550866931,0.101770812,40.7,21.7,17.5,54.4,25.400000000000006
53,AL,Pickens,36.4,2,8,4,4,0.196415419,0.5225903167279803,0.392830837,0.098405825624877,0.392830837,34.8,16.4,14.9,35.3,25.400000000000006
54,AL,Pike,38.4,1,33,9,6,0.179699901,3.0675235358002673,0.988349456,0.0300426605780208,0.988349456,35.1,13.5,12.9,36.0,25.400000000000006
55,AL,Randolph,30.9,2,9,4,3,0.133102622,3.535657063369991,0.399307866,0.088292424509977,0.399307866,31.9,14.9,12.9,31.7,25.400000000000006
56,AL,Russell,36.4,1,44,8,12,0.20131526,2.749096075713978,0.738155952,0.0171904008801485,0.738155952,36.7,12.9,13.6,36.3,25.400000000000006
57,AL,St. Clair,33.0,1,49,11,14,0.161481943,1.311555275556817,0.5651868,0.011361183380861,0.5651868,33.7,12.8,11.4,17.5,25.400000000000006
58,AL,Shelby,30.1,8,141,26,26,0.125813554,6.373549222580464,0.682296581,0.0379827368461034,0.682296581,28.4,8.7,8.0,10.2,25.400000000000006
59,AL,Sumter,40.3,1,7,3,3,0.227859638,3.935791814340049,0.53167249,0.0766871165644172,0.53167249,40.8,20.1,17.1,44.2,25.400000000000006
60,AL,Talladega,39.0,1,49,7,9,0.110671159,3.1074312665301913,0.602542977,0.0124839269440595,0.602542977,34.0,15.3,13.6,31.1,25.400000000000006
61,AL,Tallapoosa,36.9,1,20,5,6,0.145754889,1.812227707528739,0.48584963,0.0245537358509097,0.48584963,33.9,13.7,14.3,34.5,25.400000000000006
62,AL,Tuscaloosa,34.3,3,161,27,21,0.103851403,3.9286734135691628,0.796194093,0.0145558995060698,0.796194093,33.1,12.3,11.1,25.1,25.400000000000006
63,AL,Walker,33.2,1,41,12,10,0.152739381,2.6488280141479192,0.626231461,0.0153924300029246,0.626231461,33.1,16.7,13.3,31.1,25.400000000000006
64,AL,Washington,40.2,1,3,3,2,0.118807176,2.2649849553455264,0.178210764,0.05968011458582,0.178210764,34.9,17.8,12.9,31.5,25.400000000000006
65,AL,Wilcox,44.9,3,5,10,7,0.630744278,11.453506373339074,0.450531627,0.273074822501365,0.450531627,40.8,19.3,17.1,49.2,25.400000000000006
66,AL,Winston,30.2,1,10,8,8,0.33126294,1.3532120648288801,0.414078675,0.0420079815164881,0.414078675,29.3,13.2,10.0,29.3,25.400000000000006
67,AK,Aleutians East,33.4,0,1,4,4,1.19047619,7.004138687815345,0.297619048,0.0,0.297619048,28.4,7.6,5.5,15.5,20.900000000000006
68,AK,Aleutians West,39.4,1,0,3,3,0.52173913,3.7589496778777556,0.0,0.177085177970604,0.0,30.0,6.2,5.9,8.5,20.900000000000006
69,AK,Anchorage,27.0,10,204,37,32,0.106308761,7.034058975053971,0.677718348,0.0335354402532596,0.677718348,26.5,7.0,7.0,12.4,20.900000000000006
70,AK,Bethel,30.3,0,7,25,22,1.231251399,25.648197922658728,0.391761809,0.0,0.391761809,31.9,5.8,5.5,31.5,20.900000000000006
71,AK,Bristol Bay,39.7,0,0,3,2,2.089864159,22.56770323356921,0.0,0.0,0.0,32.6,8.5,6.8,8.6,20.900000000000006
72,AK,Denali,27.0,0,2,0,0,0.0,22.508214811506296,1.041124414,0.0,1.041124414,29.8,5.8,6.0,10.2,20.900000000000006
73,AK,Dillingham,38.0,1,1,5,6,1.202886929,18.444773969305096,0.200481155,0.20185708518369,0.200481155,38.5,7.2,7.8,30.4,20.900000000000006
74,AK,Fairbanks North Star,28.1,3,49,8,7,0.070453013,9.146646992391306,0.49317109,0.0298195914715968,0.49317109,25.5,5.5,5.2,10.1,20.900000000000006
75,AK,Haines,25.5,1,1,3,3,1.16913484,3.932112500304051,0.389711613,0.400641025641026,0.389711613,29.4,7.9,6.6,20.2,20.900000000000006
76,AK,Hoonah-Angoon,31.8,0,2,0,4,0.0,19.441860540121024,0.0,0.0,0.0,,7.3,,29.2,20.900000000000006
77,AK,Juneau,28.6,2,31,7,6,0.185150898,8.289317978910056,0.956612973,0.0615991129727732,0.956612973,26.7,5.9,5.3,10.1,20.900000000000006
78,AK,Kenai Peninsula,28.4,6,39,21,19,0.330567009,4.851854255936047,0.678532282,0.102553584247769,0.678532282,29.9,7.2,6.3,14.0,20.900000000000006
79,AK,Ketchikan Gateway,30.8,0,12,3,4,0.290128382,1.989694466834236,0.870385145,0.0,0.870385145,34.0,8.9,7.2,14.4,20.900000000000006
80,AK,Kodiak Island,30.2,0,7,4,5,0.357500358,4.42678869828458,0.500500501,0.0,0.500500501,26.2,6.6,6.2,9.3,20.900000000000006
81,AK,Lake and Peninsula,31.9,0,0,1,1,0.613120785,30.150286476680687,0.0,0.0,0.0,34.3,7.4,7.2,31.4,20.900000000000006
82,AK,Matanuska-Susitna,30.2,8,43,13,10,0.10216383,7.0631474383473005,0.439304469,0.076654050687491,0.439304469,27.9,8.2,5.8,11.8,20.900000000000006
83,AK,Nome,31.7,0,1,15,17,1.731689926,20.96386088098188,0.101864113,0.0,0.101864113,33.0,6.0,7.1,27.6,20.900000000000006
84,AK,North Slope,36.5,0,2,10,8,0.824487272,10.018337420422533,0.206121818,0.0,0.206121818,37.7,6.5,7.1,17.6,20.900000000000006
85,AK,Northwest Arctic,32.4,0,2,6,7,0.907088247,21.520018359750367,0.25916807,0.0,0.25916807,31.3,6.5,6.6,34.9,20.900000000000006
86,AK,Petersburg,30.5,0,4,0,3,0.0,1.2707319028847943,0.0,0.0,0.0,,7.1,,10.3,20.900000000000006
87,AK,Prince of Wales-Hyder,35.2,0,3,0,6,0.0,6.520467321771757,0.0,0.0,0.0,,7.3,,23.8,20.900000000000006
88,AK,Sitka,28.7,1,4,4,4,0.449438202,4.51380485122225,0.449438202,0.113250283125708,0.449438202,30.5,6.7,6.8,10.4,20.900000000000006
89,AK,Skagway,28.1,0,2,0,2,0.0,0.0,0.0,0.0,0.0,,6.4,,6.3,20.900000000000006
90,AK,Southeast Fairbanks,33.1,1,2,4,3,0.432837974,11.333178729222862,0.28855865,0.14543339150669,0.28855865,31.4,6.9,6.3,21.4,20.900000000000006
91,AK,Valdez-Cordova,30.4,3,9,8,8,0.84317032,12.826686795774078,0.94856661,0.320684126135756,0.94856661,32.9,7.4,6.2,12.2,20.900000000000006
92,AK,Wade Hampton,32.6,0,0,17,14,1.747815231,25.92840862977598,0.0,0.0,0.0,32.5,4.6,6.4,,20.900000000000006
93,AK,Wrangell,30.6,0,1,0,2,0.0,4.456595018685395,0.0,0.0,0.0,,8.9,,16.0,20.900000000000006
94,AK,Yakutat,31.3,0,0,2,2,3.149606299,24.47129914262538,0.0,0.0,0.0,29.2,7.9,7.3,26.1,20.900000000000006
95,AK,Yukon-Koyukuk,28.3,1,0,12,9,1.622498648,27.773801029915173,0.0,0.180962721679334,0.0,32.2,8.3,6.9,34.4,20.900000000000006
96,AZ,Apache,35.2,1,16,10,9,0.125299326,22.38802614158785,0.222754358,0.0136776452565926,0.222754358,31.7,14.4,13.6,44.7,26.0
97,AZ,Cochise,26.0,4,61,17,19,0.149080409,9.015821474001568,0.478626577,0.031804086825157,0.478626577,23.3,10.3,8.4,25.7,26.0
98,AZ,Coconino,23.2,2,120,19,21,0.152525385,8.29244571366334,0.871573626,0.0141936582734834,0.871573626,20.8,7.6,7.1,20.7,26.0
99,AZ,Gila,27.5,2,34,9,7,0.131779589,7.359121287036756,0.640072291,0.0373440884308014,0.640072291,25.8,11.2,10.9,36.6,26.0
100,AZ,Graham,32.5,1,16,7,6,0.15807361,11.136167916200861,0.421529626,0.0265964520332988,0.421529626,30.1,10.3,9.1,26.9,26.0
101,AZ,Greenlee,34.7,0,2,1,2,0.213995292,20.1930384329584,0.213995292,0.0,0.213995292,32.8,10.7,8.2,11.3,26.0
102,AZ,La Paz,32.0,0,15,11,7,0.346003658,4.323135433659109,0.741436409,0.0,0.741436409,28.6,14.8,12.0,36.9,26.0
103,AZ,Maricopa,25.4,39,2781,512,494,0.120865406,3.201468484668534,0.68041841,0.00919161620901452,0.68041841,23.1,9.0,7.4,23.0,26.0
104,AZ,Mohave,29.6,1,114,19,19,0.09342991,8.111663945758345,0.560579462,0.00487213092390219,0.560579462,27.0,12.8,11.1,29.8,26.0
105,AZ,Navajo,30.9,3,54,18,14,0.129508515,11.956971951470837,0.499532844,0.0272662825150419,0.499532844,27.6,13.1,12.9,36.7,26.0
106,AZ,Pima,24.2,27,611,128,127,0.126429046,4.863711852273258,0.608253129,0.0265694160435975,0.608253129,23.5,8.8,7.8,27.7,26.0
107,AZ,Pinal,31.6,1,115,33,29,0.072154021,4.012076749617505,0.286128016,0.00238925789649735,0.286128016,29.0,12.3,8.4,21.6,26.0
108,AZ,Santa Cruz,23.0,5,27,9,8,0.171324553,7.7244766124300925,0.578220366,0.10873110796999,0.578220366,21.0,8.0,6.3,36.7,26.0
109,AZ,Yavapai,25.3,8,128,34,32,0.14622288,6.4364443192177045,0.584891521,0.0354669669536535,0.584891521,20.1,10.5,8.0,23.4,26.0
110,AZ,Yuma,30.5,1,117,34,31,0.152523776,5.431710029001486,0.575654253,0.00486307998307648,0.575654253,26.6,12.6,10.0,30.8,26.0
111,AR,Arkansas,33.8,2,11,5,4,0.215123158,8.915288402992902,0.591588685,0.109805644010102,0.591588685,34.8,12.9,12.6,30.5,28.599999999999994
112,AR,Ashley,42.1,2,15,8,4,0.190949017,5.103235139211916,0.716058812,0.0975990630489947,0.716058812,35.7,14.5,11.3,31.2,28.599999999999994
113,AR,Baxter,32.3,3,32,7,7,0.17132927,2.0810199532175173,0.783219522,0.0730602503531245,0.783219522,26.6,16.0,11.8,28.5,28.599999999999994
114,AR,Benton,30.1,8,160,30,30,0.123802724,4.387602644324715,0.660281197,0.0309728174810582,0.660281197,28.0,9.6,7.8,15.3,28.599999999999994
115,AR,Boone,33.9,3,23,4,4,0.107538445,5.063131593144974,0.618346059,0.0804203302594896,0.618346059,28.2,12.4,10.1,25.1,28.599999999999994
116,AR,Bradley,39.0,0,6,3,3,0.269106566,2.404014199656083,0.538213132,0.0,0.538213132,32.2,13.1,12.2,40.2,28.599999999999994
117,AR,Calhoun,34.2,0,2,2,0,0.0,13.722779519290201,0.384467512,0.0,0.384467512,32.2,13.7,12.6,23.1,28.599999999999994
118,AR,Carroll,35.8,3,15,5,5,0.180219146,1.8374863102255667,0.540657439,0.108514794183607,0.540657439,25.5,13.0,10.9,27.7,28.599999999999994
119,AR,Chicot,43.1,1,5,5,3,0.268336315,14.108470193872371,0.447227191,0.0913659205116492,0.447227191,35.8,15.2,14.7,43.2,28.599999999999994
120,AR,Clark,34.3,1,19,5,2,0.088589653,7.544577365616874,0.841601701,0.0441364699651322,0.841601701,31.3,11.6,10.1,28.2,28.599999999999994
121,AR,Clay,33.7,1,9,3,4,0.264585263,2.145034313209712,0.595316841,0.0670241286863271,0.595316841,30.8,11.1,12.0,27.9,28.599999999999994
122,AR,Cleburne,31.8,1,16,9,8,0.312085511,2.1446523842075975,0.624171023,0.0395820139328689,0.624171023,28.4,13.5,11.9,24.7,28.599999999999994
123,AR,Cleveland,35.7,1,1,2,1,0.118357202,5.048248009064898,0.118357202,0.12134449702706,0.118357202,31.7,13.0,11.8,25.9,28.599999999999994
124,AR,Columbia,36.4,1,22,4,3,0.125349935,2.7724633968373333,0.919232858,0.041839253587716,0.919232858,31.8,12.9,12.0,32.8,28.599999999999994
125,AR,Conway,39.7,1,7,4,4,0.18972632,4.012230748235745,0.33202106,0.0477623346229164,0.33202106,29.5,13.7,10.4,29.1,28.599999999999994
126,AR,Craighead,36.4,2,76,19,20,0.195087692,4.055234341679904,0.741333229,0.0188973401993669,0.741333229,31.9,13.1,10.1,24.3,28.599999999999994
127,AR,Crawford,35.1,1,28,8,8,0.129665948,4.721193267827371,0.453830818,0.016059871199833,0.453830818,30.1,11.4,8.2,22.5,28.599999999999994
128,AR,Crittenden,38.8,0,34,11,9,0.181642044,3.4457954093972343,0.686203278,0.0,0.686203278,36.4,15.8,13.8,37.3,28.599999999999994
129,AR,Cross,37.9,1,12,4,3,0.174145237,3.272432239971231,0.696580949,0.0586957797734343,0.696580949,31.4,13.6,12.3,31.8,28.599999999999994
130,AR,Dallas,36.2,0,3,2,3,0.386847195,8.811309301798817,0.386847195,0.0,0.386847195,34.0,14.4,13.6,35.9,28.599999999999994
131,AR,Desha,39.6,0,9,6,4,0.32615786,9.456961974983164,0.733855186,0.0,0.733855186,35.6,15.1,13.3,45.7,28.599999999999994
132,AR,Drew,34.3,0,15,2,2,0.10739985,4.449403735712583,0.805498872,0.0,0.805498872,31.8,13.6,10.6,29.3,28.599999999999994
133,AR,Faulkner,33.2,5,79,11,10,0.082803392,3.992663109003003,0.654146794,0.0409074917980479,0.654146794,29.4,11.2,9.3,17.0,28.599999999999994
134,AR,Franklin,37.1,0,6,2,2,0.112327998,1.5691328062411087,0.336983993,0.0,0.336983993,32.9,13.8,10.9,26.9,28.599999999999994
135,AR,Fulton,32.9,0,4,1,1,0.082474227,4.476090020635565,0.329896907,0.0,0.329896907,28.8,15.6,11.4,34.2,28.599999999999994
136,AR,Garland,32.3,3,85,18,17,0.174677873,5.9716488285071225,0.873389367,0.0307764908645116,0.873389367,27.1,14.5,10.2,28.2,28.599999999999994
137,AR,Grant,38.3,1,6,3,2,0.110229277,3.033166960506111,0.330687831,0.0553036168565424,0.330687831,32.4,11.1,9.4,18.8,28.599999999999994
138,AR,Greene,31.2,1,28,4,5,0.114432187,6.249608943313518,0.64082025,0.0224225301583031,0.64082025,30.7,12.9,9.6,24.9,28.599999999999994
139,AR,Hempstead,40.3,2,11,8,3,0.134366462,7.53264348412557,0.492677028,0.0910166560480568,0.492677028,33.4,13.5,13.0,34.1,28.599999999999994
140,AR,Hot Spring,34.7,0,14,7,6,0.179812994,3.654770036124867,0.419563654,0.0,0.419563654,32.5,12.2,10.7,28.1,28.599999999999994
141,AR,Howard,35.7,1,9,5,1,0.074074074,9.864739387623903,0.666666667,0.0747551767959931,0.666666667,32.3,13.4,11.8,30.7,28.599999999999994
142,AR,Independence,37.2,0,21,5,6,0.162342055,3.736535713437935,0.568197191,0.0,0.568197191,29.0,13.1,10.1,26.8,28.599999999999994
143,AR,Izard,33.9,1,3,4,4,0.296603886,0.252739437986499,0.222452914,0.0744435345790218,0.222452914,27.1,15.5,9.8,31.4,28.599999999999994
144,AR,Jackson,37.2,1,9,4,3,0.171096156,4.1610731158367615,0.513288468,0.0580686371290866,0.513288468,31.2,12.9,11.4,39.7,28.599999999999994
145,AR,Jefferson,40.7,1,56,15,17,0.235141154,3.7134729484552977,0.774582624,0.014282449725777,0.774582624,37.4,15.4,12.5,37.8,28.599999999999994
146,AR,Johnson,36.4,2,11,1,2,0.076908287,1.2920614780498434,0.422995578,0.0764058679706602,0.422995578,30.7,12.5,9.9,29.1,28.599999999999994
147,AR,Lafayette,36.3,0,3,3,2,0.281254395,5.485578723096507,0.421881592,0.0,0.421881592,32.2,15.3,13.5,36.3,28.599999999999994
148,AR,Lawrence,31.8,2,6,5,4,0.236253027,7.260626808335514,0.35437954,0.119510008963251,0.35437954,32.1,13.2,11.2,33.5,28.599999999999994
149,AR,Lee,35.7,1,3,1,1,0.101419878,7.124879871629748,0.304259635,0.107411385606874,0.304259635,35.6,13.1,12.7,48.7,28.599999999999994
150,AR,Lincoln,37.5,0,5,1,1,0.071581961,2.4976448995677516,0.357909807,0.0,0.357909807,33.8,12.3,10.4,27.4,28.599999999999994
151,AR,Little River,32.7,1,6,3,2,0.159591446,3.7906060562873813,0.478774338,0.0803148341498675,0.478774338,33.1,12.9,11.9,28.2,28.599999999999994
152,AR,Logan,37.5,3,13,3,2,0.091082977,2.328550627505852,0.592039348,0.137665198237885,0.592039348,28.4,13.8,9.6,30.5,28.599999999999994
153,AR,Lonoke,35.8,0,38,11,8,0.111798985,5.129521562558429,0.531045181,0.0,0.531045181,32.4,13.1,10.9,16.7,28.599999999999994
154,AR,Madison,34.0,1,3,3,4,0.254129606,5.178979212084952,0.190597205,0.0622200099552016,0.190597205,29.1,11.8,9.8,29.1,28.599999999999994
155,AR,Marion,31.7,1,5,4,3,0.183295656,2.170512322771813,0.30549276,0.0612557427258806,0.30549276,30.2,12.2,11.8,34.7,28.599999999999994
156,AR,Miller,35.9,2,24,11,7,0.161186331,8.273938810273826,0.552638851,0.0456756571585174,0.552638851,36.1,12.3,13.8,31.5,28.599999999999994
157,AR,Mississippi,39.8,2,32,15,11,0.248671866,3.53388520750355,0.723409065,0.0466907902416248,0.723409065,34.7,15.9,12.6,37.6,28.599999999999994
158,AR,Monroe,37.5,0,5,5,3,0.395673965,2.706294763268352,0.659456608,0.0,0.659456608,32.1,17.2,13.3,46.7,28.599999999999994
159,AR,Montgomery,33.8,1,4,3,1,0.110107906,4.500864131018995,0.440431623,0.112625295641401,0.440431623,27.7,14.3,10.9,34.8,28.599999999999994
160,AR,Nevada,36.0,1,3,1,1,0.114639459,6.409913125214637,0.343918377,0.119075970469159,0.343918377,31.3,13.9,13.2,35.6,28.599999999999994
161,AR,Newton,34.2,2,1,3,4,0.506072874,8.838022231263134,0.126518219,0.252016129032258,0.126518219,31.0,12.8,12.7,37.1,28.599999999999994
162,AR,Ouachita,34.8,1,16,6,4,0.161108426,5.740753822140697,0.644433704,0.041497219686281,0.644433704,33.5,14.8,13.4,35.1,28.599999999999994
163,AR,Perry,37.5,1,1,1,1,0.09760859,3.1463894936946097,0.09760859,0.0986971969996052,0.09760859,28.9,12.2,10.0,25.9,28.599999999999994
164,AR,Phillips,45.5,2,7,9,7,0.351229303,13.80996352382925,0.351229303,0.105401844532279,0.351229303,38.2,16.7,13.8,56.4,28.599999999999994
165,AR,Pike,37.8,1,5,5,4,0.362844702,5.003139043315331,0.453555878,0.0923190546528804,0.453555878,29.0,12.4,11.0,30.2,28.599999999999994
166,AR,Poinsett,38.4,1,17,6,5,0.206219583,9.015614822222592,0.701146581,0.0416267743412563,0.701146581,34.1,13.8,11.9,36.6,28.599999999999994
167,AR,Polk,36.7,2,8,6,4,0.197775031,9.573051809714404,0.395550062,0.0991424180835771,0.395550062,31.9,13.9,10.7,32.4,28.599999999999994
168,AR,Pope,32.1,2,52,7,7,0.110757741,2.859186092243061,0.822771792,0.0313582840746954,0.822771792,31.1,11.2,9.6,24.6,28.599999999999994
169,AR,Prairie,36.3,0,1,3,2,0.240847784,8.179285089827504,0.120423892,0.0,0.120423892,30.3,14.3,11.1,28.5,28.599999999999994
170,AR,Pulaski,31.7,11,344,72,63,0.16042699,6.888026701847324,0.875982297,0.027972027972028,0.875982297,28.3,12.0,10.0,27.7,28.599999999999994
